ID	Source	Change	Target
NahuatlOmitlan0302	"huan maquimiluican ""quema"""	MOOD:NA, PERSON[IOBJ]:1_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	"huan titechoniluiah ""quemah"""
NahuatlOmitlan0303	tiquimpiyasqueh siqui yolcameh	ASPECT:DUR, PERSON[OBJ]:3_SI, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0304	quicochtihtoc iconeu	PERSON[OBJ]:3_PL, TENSE:PAS_SIM	oquincochtitoya iconeuan
NahuatlOmitlan0305	quicochtihtoc in conetl	PERSON[OBJ]:3_PL	quincochtihtoc coconeh
NahuatlOmitlan0306	tehuatzin titechimonnextilitos ninqueh tlatzotzonalmeh	HON:NA, PERSON[OBJ]:1_SI, TENSE:PRE_SIM	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0307	nihnimisqueh ic tocalihtic	PERSON[POSS]:3_PL, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	nihnimi ic incalihtic
NahuatlOmitlan0308	milauac mauiqueh	ASPECT:DUR, MOOD:NA, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	milauac tiualatoc
NahuatlOmitlan0309	¿mox amo otonnihnin ic nocalihtic?	MOOD:NA, PERSON[POSS]:3_PL, PERSON[SUBJ]:2_PL, TENSE:FUT_SIM	amo nonnihnintosqueh ic incalihtic 
NahuatlOmitlan0310	neh onicquixteh noprimaria	PERSON[POSS]:3_PL, PERSON[SUBJ]:3_PL, TENSE:FUT_SIM, TYPE:NEG	yehuan amo quiquixtisqueh imprimaria
NahuatlOmitlan0311	amo onihnin ic nimocalihtic	ASPECT:IPFV, PERSON[POSS]:3_SI, PERSON[SUBJ]:1_PL	amo otinihnintoyah ic icalihtic
NahuatlOmitlan0312	yehuatl amo quinnexitilis nin tlatzotzonal	ASPECT:PFV, HON:1, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PAS_SIM	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0313	"huan maquimiluican ""quema"""	MOOD:NA, PERSON[IOBJ]:2_PL, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM	"huan nimechiluia ""quema"""
NahuatlOmitlan0314	oquitzacu ichan	MOOD:IMP, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TENSE:PRE_SIM, TYPE:NEG	amo xictzacuaqui nochan
NahuatlOmitlan0315	ticpixtoqueh se yolcatl	PERSON[SUBJ]:1_SI, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0316	yehuatl onechnextileh nin tlatzotzonal	ASPECT:DUR, PERSON[IOBJ]:3_SI, PERSON[OBJ]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0317	"huan amo techiluisqueh ""quema"""	PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:AFF	"huan titechoniluiah ""quemah"""
NahuatlOmitlan0318	quichihchiuas itlaxcal	MOOD:IMP, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	xicchihchiua motlaxcal
NahuatlOmitlan0319	tehuatl amo otinechnextilito nin tlatzotzonal	ASPECT:DUR, PERSON[IOBJ]:3_SI, PERSON[OBJ]:1_SI, PURPOSIVE:NA, TENSE:PRE_SIM, TYPE:AFF	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0320	"huan oquilueh ""quema."""	MOOD:COND, PERSON[SUBJ]:2_SI, TYPE:NEG	"huan amo toconiluisquia ""quema"""
NahuatlOmitlan0321	simi quipactia	ASPECT:IPFV, PERSON[OBJ]:1_SI, TENSE:PAS_SIM, TYPE:NEG	amo simi onechpactaya
NahuatlOmitlan0322	juan octzicuinaltito in yolcameh	PERSON[OBJ]:3_PL, PERSON[POSS]:3_SI, PURPOSIVE:NA, TYPE:NEG	juan amo oquintzicuinalteh iyolcauan
NahuatlOmitlan0323	amo otitlapixtoyah	ASPECT:PFV, HON:1, PERSON[SUBJ]:2_SI, PURPOSIVE:VET, TYPE:AFF	otontlapiyato
NahuatlOmitlan0324	oquitzacu ichan	PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, TRANSITIV:ITR, TYPE:NEG	amo otlatzacuqueh
NahuatlOmitlan0325	tlapixtoqueh	PURPOSIVE:VET	tlapiyatiueh
NahuatlOmitlan0326	quicochtihtoc iconeu	PERSON[POSS]:NA, PERSON[SUBJ]:1_PL, PURPOSIVE:VET	ticcochtihtiueh conetl
NahuatlOmitlan0327	nihnimisqueh ic tocalihtic	PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	tinihnimi ic nocalihtic
NahuatlOmitlan0328	tehuatzin otoconquixteh moprimaria	ASPECT:DUR, HON:NA	teh otiquixtihtoya moprimaria
NahuatlOmitlan0329	quicochtihtoc iconeu	ASPECT:PFV, PERSON[POSS]:0, TENSE:PAS_SIM, TYPE:NEG	amo occochtito conetl
NahuatlOmitlan0330	onihnimiyah ic tocalihtic	MOOD:COND, PERSON[POSS]:2_SI, PERSON[SUBJ]:3_PL, TYPE:NEG	amo nihnimisquiah ic mocalihtic
NahuatlOmitlan0331	titzacuatiueh tochantzin	PERSON[POSS]:1_SI, PERSON[SUBJ]:1_SI, PURPOSIVE:NA, TENSE:PRE_SIM	nictzacua nochan
NahuatlOmitlan0332	simi tictlasohtlas	PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	simi titechtlasohtlah
NahuatlOmitlan0333	yehuan otechnextilitoyah nin tlatzotzonal	ASPECT:PFV, PERSON[IOBJ]:1_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TYPE:NEG	tehuatl amo otinechnextilito nin tlatzotzonal
NahuatlOmitlan0334	amo xictzacuacan nimochan	ASPECT:PFV, MOOD:NA, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, TENSE:PAS_SIM, TRANSITIV:ITR	amo otlatzacuqueh
NahuatlOmitlan0335	occochteh iconeu	HON:1, PERSON[OBJ]:3_PL, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	tocomoncochtia noconeuan
NahuatlOmitlan0336	onicpixqueh se yolcatl	PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL, TENSE:FUT_SIM	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0337	nehuatl nicnextilia nin tlatzotzonal	ASPECT:PFV, PERSON[IOBJ]:1_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TENSE:PAS_SIM, TYPE:NEG	tehuatl amo otinechnextilito nin tlatzotzonal
NahuatlOmitlan0338	neh onicquixteh noprimaria	HON:1, MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	xoconquixtican nimoprimaria
NahuatlOmitlan0339	ticpiya se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_PL	ticpixtoqueh se yolcatl
NahuatlOmitlan0340	amo quipiya se yolcatl	PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL, TENSE:FUT_SIM, TYPE:AFF	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0341	occochteh iconeu	PERSON[POSS]:0, TYPE:NEG	amo occochtito conetl
NahuatlOmitlan0342	amo quipiya se yolcatl	TENSE:FUT_SIM, TYPE:AFF	quipiyas se yolcatl
NahuatlOmitlan0343	ticpixtoqueh se yolcatl	MOOD:COND, PERSON[SUBJ]:3_PL	ocpiyasquiah se yolcatl 
NahuatlOmitlan0344	simi mauiltia nomiston	ASPECT:IPFV, PERSON[POSS]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo simi omauiltaya momiston
NahuatlOmitlan0345	yehuatl amo quinnexitilis nin tlatzotzonal	ASPECT:PFV, PERSON[IOBJ]:1_SI, PERSON[SUBJ]:2_SI, PURPOSIVE:VEN, TENSE:PAS_SIM	tehuatl amo otinechnextilito nin tlatzotzonal
NahuatlOmitlan0346	amo simi onechpactaya	ASPECT:PFV, PERSON[OBJ]:2_SI, TYPE:AFF	simi omitzpacteh
NahuatlOmitlan0347	niccochtia noconeu	ASPECT:DUR, PERSON[OBJ]:3_PL, PERSON[POSS]:3_SI, PERSON[SUBJ]:3_SI, TENSE:PAS_SIM	oquincochtitoya iconeuan
NahuatlOmitlan0348	tetlanextiliah	ASPECT:PFV, HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PAS_SIM, TYPE:NEG	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0349	simi ocpactihqueh	MOOD:COND, PERSON[OBJ]:1_SI, PERSON[SUBJ]:3_SI, TYPE:NEG	amo simi nechpactisquia
NahuatlOmitlan0350	milauac otiualaqueh	ASPECT:DUR, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM	milauac tiualatoc
NahuatlOmitlan0351	nitlapiyati	ASPECT:PFV, HON:1, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM	otontlapiyato
NahuatlOmitlan0352	ticpiya se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_SI, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0353	nihnimi ic incalihtic	ASPECT:PFV, HON:1, MOOD:INT, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	¿mox amo otonnihnin ic nocalihtic?
NahuatlOmitlan0354	nitlapiyati	ASPECT:DUR, PERSON[SUBJ]:1_PL, PURPOSIVE:NA, TENSE:PAS_SIM, TYPE:NEG	amo otitlapixtoyah
NahuatlOmitlan0355	ticpiya se yolcatl	PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL, TENSE:FUT_SIM	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0356	ocpiyasquiah se yolcatl 	ASPECT:DUR, MOOD:NA, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0357	amo xictzacuaqui nochan	ASPECT:PFV, MOOD:NA, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, PURPOSIVE:NA, TENSE:PAS_SIM, TRANSITIV:ITR	amo otlatzacuqueh
NahuatlOmitlan0358	nicpiya se yolcatl	PERSON[SUBJ]:3_SI, TYPE:NEG	amo quipiya se yolcatl
NahuatlOmitlan0359	tehuatzin otoconquixteh moprimaria	HON:NA, PERSON[POSS]:3_PL, PERSON[SUBJ]:3_PL, TENSE:FUT_SIM, TYPE:NEG	yehuan amo quiquixtisqueh imprimaria
NahuatlOmitlan0360	amo otinihnintoyah ic icalihtic	ASPECT:PFV, HON:1, MOOD:INT, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI	¿mox amo otonnihnin ic nocalihtic?
NahuatlOmitlan0361	nictzacua nochan	MOOD:OPT, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, TRANSITIV:ITR	matlatzacuacan
NahuatlOmitlan0362	yeh amo quixtihtoc iprimaria	ASPECT:PFV, HON:1, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:AFF	tehuatzin otoconquixteh moprimaria
NahuatlOmitlan0363	nehuatl nimitznextilis nin tlatzotzonal	PERSON[IOBJ]:NA, PERSON[OBJ]:NA, PERSON[SUBJ]:3_PL, TENSE:PRE_SIM, TRANSITIV:ITR	tetlanextiliah
NahuatlOmitlan0364	oquincochtitoya iconeuan	ASPECT:PFV, PERSON[OBJ]:3_SI, PERSON[POSS]:0, TYPE:NEG	amo occochtito conetl
NahuatlOmitlan0365	simi omitzpacteh	MOOD:COND, PERSON[OBJ]:1_SI, TYPE:NEG	amo simi nechpactisquia
NahuatlOmitlan0366	yehuan amo quiquixtisqueh imprimaria	ASPECT:DUR, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:AFF	teh otiquixtihtoya moprimaria
NahuatlOmitlan0367	simi quitlasohtla	PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	simi tictlasohtlas
NahuatlOmitlan0368	titzacuatiueh tochantzin	MOOD:OPT, PERSON[OBJ]:NA, PERSON[POSS]:NA, PERSON[SUBJ]:3_PL, PURPOSIVE:NA, TENSE:PRE_SIM, TRANSITIV:ITR	matlatzacuacan
NahuatlOmitlan0369	nicpiya se yolcatl	MOOD:COND, PERSON[SUBJ]:3_PL	ocpiyasquiah se yolcatl 
NahuatlOmitlan0370	tinihnimi ic nocalihtic	ASPECT:PFV, PERSON[POSS]:2_PL, PERSON[SUBJ]:3_SI, TENSE:PAS_SIM, TYPE:NEG	amo onihnin ic nimocalihtic
NahuatlOmitlan0371	niccochtia noconeu	ASPECT:PFV, PERSON[POSS]:0, PERSON[SUBJ]:3_SI, TENSE:PAS_SIM, TYPE:NEG	amo occochtito conetl
NahuatlOmitlan0372	nehuatl nicnextilia nin tlatzotzonal	ASPECT:DUR, PERSON[OBJ]:1_SI, PERSON[SUBJ]:2_SI	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0373	yehuatl amo quinnexitilis nin tlatzotzonal	ASPECT:DUR, HON:1, PERSON[OBJ]:1_PL, PERSON[SUBJ]:2_SI, TYPE:AFF	tehuatzin titechimonnextilitos ninqueh tlatzotzonalmeh
NahuatlOmitlan0374	juan quitzicuinaltihtoc in yolcatl	ASPECT:PFV, PURPOSIVE:VEN, TENSE:PAS_SIM	juan octzicuinaltico in yolcatl
NahuatlOmitlan0375	simi tocontlasohtla	HON:NA, TENSE:FUT_SIM	simi tictlasohtlas
NahuatlOmitlan0376	quicochtihtoc in conetl	HON:1, PERSON[OBJ]:3_PL, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI	tocomoncochtia noconeuan
NahuatlOmitlan0377	quicochtihtoc iconeu	PERSON[POSS]:1_SI, PERSON[SUBJ]:1_SI	niccochtia noconeu
NahuatlOmitlan0378	amo otitlapixtoyah	ASPECT:PFV, PERSON[SUBJ]:1_SI, PURPOSIVE:VET, TYPE:AFF	otitlapiyatoh
NahuatlOmitlan0379	simi titechtlasohtlah	PERSON[OBJ]:3_PL	simi niquintlasohtlah
NahuatlOmitlan0380	tinihnimi ic nocalihtic	ASPECT:IPFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TENSE:PAS_SIM	onihnimiyah ic tocalihtic
NahuatlOmitlan0381	onicpiyaya se yolcatl	ASPECT:PFV, PERSON[SUBJ]:2_PL	onicpixqueh se yolcatl
NahuatlOmitlan0382	onihnin ic nocalihtic	HON:1, PERSON[POSS]:3_PL, PERSON[SUBJ]:2_PL, TENSE:FUT_SIM, TYPE:NEG	amo nonnihnintosqueh ic incalihtic 
NahuatlOmitlan0383	teh oticchihchiu in tlaxcal	MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	xicchihchiuacan nimotlaxcal
NahuatlOmitlan0384	quipiyas se yolcatl	MOOD:COND, PERSON[SUBJ]:3_PL	ocpiyasquiah se yolcatl 
NahuatlOmitlan0385	tehuatzin toconchihchiuaqui motlaxcaltzin	HON:NA, MOOD:IMP, PURPOSIVE:NA	xicchihchiua motlaxcal
NahuatlOmitlan0386	nehuatl nimitznextilis nin tlatzotzonal	PERSON[IOBJ]:3_SI, TENSE:PRE_SIM	nehuatl nicnextilia nin tlatzotzonal
NahuatlOmitlan0387	onicpixqueh se yolcatl	HON:1, PERSON[SUBJ]:2_SI, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0388	otontlapiyato	ASPECT:DUR, HON:NA, PERSON[SUBJ]:3_PL, PURPOSIVE:NA, TENSE:PRE_SIM	tlapixtoqueh
NahuatlOmitlan0389	simi tictlasohtlas	ASPECT:IPFV, HON:1, PERSON[OBJ]:1_PL, TENSE:PAS_SIM, TYPE:NEG	amo simi otitechontlasohtlaya
NahuatlOmitlan0390	yehuatl amo quinnexitilis nin tlatzotzonal	ASPECT:DUR, PERSON[OBJ]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM, TYPE:AFF	tehuatl tinechnextilihtoc nin tlatzotzonal
NahuatlOmitlan0391	nehuatl nicnextilia nin tlatzotzonal	PERSON[IOBJ]:NA, PERSON[OBJ]:NA, PERSON[SUBJ]:3_PL, TRANSITIV:ITR	tetlanextiliah
